Sample_ID	Elem	Conc_Samp	Reported_Conc_Samp
SKT_31	Zn	0.249736526	0.25
SKT_32	Cd	0.003664725	0.004
SKT_32	K	20.46364949	20.46
SKT_32	Na	0.597437016	0.597
SKT_32	Fe	0.073362769	0.073
SKT_32	Zn	0.083353924	0.083
SKT_33	Cd	0.00206329	0.002
SKT_33	K	0.576018235	0.576
SKT_33	Na	0.433191241	0.433
SKT_33	Fe	0.905077338	0.905
SKT_33	Zn	0.195811935	0.196
SKT_34	Cd	0.004008337	0.004
SKT_34	K	51.41162009	51.41
SKT_34	Na	1.716459245	1.716
SKT_34	Fe	0.192922462	0.193
SKT_34	Zn	0.353550206	0.354
SKT_35	Cd	0.003492672	0.003
SKT_35	K	31.18197728	31.18
SKT_35	Na	0.653934663	0.654
SKT_35	Fe	0.075241436	0.075
SKT_35	Zn	0.086734984	0.087
SKT_36	Cd	0.003250841	0.003
SKT_36	K	0.999891758	1
SKT_36	Na	0.538873359	0.539
SKT_36	Fe	1.48855218	1.489
SKT_36	Zn	0.068435018	0.068
SKT_37	Cd	0.00283986	0.003
SKT_37	K	27.68378221	27.68
SKT_37	Na	0.826495188	0.826
SKT_37	Fe	0.061473995	0.061
SKT_37	Zn	0.054405813	0.054
SKT_38	Cd	0.004286565	0.004
SKT_38	K	6.404442253	6.404
SKT_38	Na	0.282783609	0.283
SKT_38	Fe	0.062124589	0.062
SKT_38	Zn	0.024194308	0.024
SKT_39	Cd	0.045040915	0.045
SKT_39	K	0.534953939	0.535
SKT_39	Na	0.45108528	0.451
SKT_39	Fe	0.370955782	0.371
SKT_39	Zn	0.034790262	0.035
SKT_40	Cd	0.00370727	0.004
SKT_40	K	23.40693558	23.41
SKT_40	Na	0.610580802	0.611
SKT_40	Fe	0.054648588	0.055
SKT_40	Zn	0.189881098	0.19
SKT_41	Cd	0.003324905	0.003
SKT_41	K	25.30705469	25.31
SKT_41	Na	0.8674908	0.867
SKT_41	Fe	0.079800313	0.08
SKT_41	Zn	0.083934382	0.084
SKT_42	Cd	0.324108166	0.324
SKT_42	K	1.170769433	1.171
SKT_42	Na	1.247657996	1.248
SKT_42	Fe	2.275895301	2.276
SKT_42	Zn	0.701791338	0.702
SKT_43	Cd	0.003677981	0.004
SKT_43	K	40.03762649	40.04
SKT_43	Na	1.063975897	1.064
SKT_43	Fe	0.170412499	0.17
SKT_43	Zn	0.323241935	0.323
SKT_44	Cd	0.003796318	0.004
SKT_44	K	28.38188121	28.38
SKT_44	Na	0.919957072	0.92
SKT_44	Fe	0.09857259	0.099
SKT_44	Zn	0.098539225	0.099
SKT_45	Cd	0.053303229	0.053
SKT_45	K	0.718054232	0.718
SKT_45	Na	0.754404876	0.754
SKT_45	Fe	1.4234436	1.423
SKT_45	Zn	0.049327472	0.049
SKT_46	Cd	0.003870498	0.004
SKT_46	K	29.64866295	29.65
SKT_46	Na	0.958329069	0.958
SKT_46	Fe	0.062565708	0.063
SKT_46	Zn	0.05277526	0.053
SKT_47	Cd	0.003694247	0.004
SKT_47	K	23.89515429	23.9
SKT_47	Na	0.693623248	0.694
SKT_47	Fe	0.054617434	0.055
SKT_47	Zn	0.058424327	0.058
SKT_48	Cd	0.052669724	0.053
SKT_48	K	0.271022535	0.271
SKT_48	Na	0.484853832	0.485
SKT_48	Fe	0.823698789	0.824
SKT_48	Zn	0.044906212	0.045
SKT_49	Cd	0.003752884	0.004
SKT_49	K	50.94803393	50.95
SKT_49	Na	1.727399451	1.727
SKT_49	Fe	0.087569848	0.088
SKT_49	Zn	0.256588065	0.257
SKT_50	Cd	0.002947278	0.003
SKT_50	K	18.7143799	18.71
SKT_50	Na	0.716426898	0.716
SKT_50	Fe	0.073480882	0.073
SKT_50	Zn	0.072315299	0.072
SKT_51	Cd	0.845676395	0.846
SKT_51	K	5.142560718	5.143
SKT_51	Na	1.100393274	1.1
SKT_51	Fe	1.057729846	1.058
SKT_51	Zn	0.627924663	0.628
SKT_52	Cd	0.003927736	0.004
SKT_52	K	49.60523582	49.61
SKT_52	Na	2.090389366	2.09
SKT_52	Fe	0.260014652	0.26
SKT_52	Zn	0.423256284	0.423
SKT_53	Cd	0.002992345	0.003
SKT_53	K	48.06472847	48.06
SKT_53	Na	1.686345361	1.686
SKT_53	Fe	0.108288181	0.108
SKT_53	Zn	0.199657036	0.2
SKT_54	Cd	0.217554592	0.218
SKT_54	K	1.410699637	1.411
SKT_54	Na	1.427887272	1.428
SKT_54	Fe	2.838381778	2.838
SKT_54	Zn	0.157675865	0.158
C1c	Cd	0.001524392	0.003
C1c	K	0.100555174	0.104
C1c	Na	0.18281088	0.212
C1c	Fe	0.026884981	0.031
C1c	Zn	0.007273066	0.008
