Cap,Salt,Cadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,ConcCor,CorConc,ugElementPermgDW,ugElement
16,1,0,1,3,old leaf,0.03447,0.5,SKT_16,K,78.21248987,78.21,78.13684968,78.119564062,27195.67069173194,937.4347687439999
17,1,0,1,3,young leaf,0.01089,0.7,SKT_17,K,32.06982974,32.07,31.99418955,31.976903932000003,25168.755554506104,274.0877479885715
18,1,0,1,3,root,0.0102,0.7,SKT_18,K,4.035383729,4.035,3.95974354,3.9424579210000004,3312.9898495798316,33.79249646571429
19,1,0,2,1,old leaf,0.03178,0.5,SKT_19,K,47.06255836,47.06,46.98691817,46.969632552,17735.544072498426,563.635590624
20,1,0,2,1,young leaf,0.00796,0.7,SKT_20,K,25.573736,25.57,25.49809581,25.480810192,27438.05835463029,218.40694450285713
21,1,0,2,1,root,0.00145,0.7,SKT_21,K,0.665214047,0.665,0.56263198699999994,0.5722882389999999,3382.984664039409,4.905327762857143
22,1,0,2,2,old leaf,0.01486,0.7,SKT_22,K,19.22581172,19.23,19.12322966,19.132885912,11036.081087483177,163.99616496000002
23,1,0,2,2,young leaf,0.00285,0.7,SKT_23,K,4.551212673,4.551,4.448630613,4.458286865,13408.38154887218,38.213887414285715
24,1,0,2,2,root,0.00329,0.7,SKT_24,K,0.74272545,0.743,0.64014339,0.6497996420000001,1692.9213425966134,5.569711217142858
25,1,0,2,3,old leaf,0.03215,0.5,SKT_25,K,72.83250429,72.83,72.72992223,72.739578482,27150.075949735612,872.8749417839999
26,1,0,2,3,young leaf,0.0097,0.7,SKT_26,K,30.71442691,30.71,30.61184485,30.621501102,27058.76386038292,262.4700094457143
27,1,0,2,3,root,0.0043,0.7,SKT_27,K,1.286258954,1.286,1.183676894,1.193333146,2378.7371681063128,10.228569822857144
55,0,1,0,1,old leaf,0.01027,0.7,SKT_28,K,13.28787273,13.29,13.18529067,13.194946922,11012.61392850188,113.0995450457143
56,0,1,0,1,young leaf,0.01377,0.7,SKT_29,K,26.39100508,26.39,26.28842302,26.298079272,16369.79724369748,225.4121080457143
