Cap,Salt,Cadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,ConcCor,CorConc,ugElementPermgDW,ugElement
72,0,1,1,3,root,0.00194,0.7,SKT_45,Cd,0.053303229,0.053,0.049086851,0.049773223,0.21991114727540498,0.4266276257142857
73,0,1,2,1,old leaf,0.01725,0.7,SKT_46,Cd,0.003870498,0.004,0,3.4049199999999996e-4,1.6918857142857142e-4,0.002918502857142857
74,0,1,2,1,young leaf,0.01065,0.7,SKT_47,Cd,0.003694247,0.004,0,1.6424099999999987e-4,1.3218591549295764e-4,0.0014077799999999989
75,0,1,2,1,root,9e-4,0.7,SKT_48,Cd,0.052669724,0.053,0.048453346,0.049139718,0.4679973142857143,0.42119758285714287
76,0,1,2,2,old leaf,0.06388,0.4,SKT_49,Cd,0.003752884,0.004,0,2.2287800000000014e-4,5.233515967438951e-5,0.003343170000000002
77,0,1,2,2,young leaf,0.02182,0.5,SKT_50,Cd,0.002947278,0.003,0,0,0,0
78,0,1,2,2,root,0.00432,0.7,SKT_51,Cd,0.845676395,0.846,0.841460017,0.842146389,1.6709253750000004,7.218397620000002
79,0,1,2,3,old leaf,0.09999,0.4,SKT_52,Cd,0.003927736,0.004,0,3.977300000000002e-4,5.9665466546654695e-5,0.005965950000000003
80,0,1,2,3,young leaf,0.04808,0.5,SKT_53,Cd,0.002992345,0.003,0,0,0,0
81,0,1,2,3,root,0.00432,0.7,SKT_54,Cd,0.217554592,0.218,0.213338214,0.214024586,0.4246519563492063,1.8344964514285715
1,1,0,0,1,old leaf,0.10951,0.4,SKT_01,Na,4.588776377,4.589,4.410211617,4.403314431,0.6031386765135605,66.049716465
2,1,0,0,1,young leaf,0.026,0.5,SKT_02,Na,1.132056547,1.132,0.953491787,0.9465946009999999,0.4368898158461538,11.359135211999998
3,1,0,0,1,root,0.0029,0.7,SKT_03,Na,1.179705789,1.18,1.001141029,0.994243843,2.93865175270936,8.522090082857144
4,1,0,0,2,old leaf,0.04946,0.5,SKT_04,Na,3.771481705,3.771,3.592916945,3.586019759,0.8700411869793775,43.032237108000004
5,1,0,0,2,young leaf,0.01384,0.7,SKT_05,Na,0.956094336,0.956,0.77752957599999994,0.7706323900000001,0.47727026630883573,6.605420485714286
6,1,0,0,2,root,8.7e-4,0.7,SKT_06,Na,0.45180555,0.452,0.27324079,0.266343604,2.624074916256158,2.2829451771428575
7,1,0,0,3,old leaf,0.06652,0.4,SKT_07,Na,3.557089922,3.557,3.378525162,3.371627976,0.7602889302465424,50.57441964
8,1,0,0,3,young leaf,0.04741,0.5,SKT_08,Na,3.238580854,3.239,3.060016094,3.053118908,0.7727784622653449,36.637426896
9,1,0,0,3,root,0.00169,0.7,SKT_09,Na,0.764099893,0.764,0.585535133,0.578637947,2.9347655807269657,4.959753831428572
10,1,0,1,1,old leaf,0.06685,0.4,SKT_10,Na,13.26297509,13.26,13.08441033,13.077513144,2.9343709373223628,196.16269715999996
11,1,0,1,1,young leaf,0.0075,0.7,SKT_11,Na,5.23916047,5.239,5.06059571,5.053698524,5.775655456,43.31741592
12,1,0,1,1,root,0.00146,0.7,SKT_12,Na,1.262332758,1.262,1.083767998,1.0768708120000001,6.322137839530335,9.230321245714288
13,1,0,1,2,old leaf,0.01357,0.7,SKT_13,Na,0.596761556,0.597,0.418196796,0.41129961000000004,0.2597955216338563,3.5254252285714296
14,1,0,1,2,young leaf,0.00244,0.7,SKT_14,Na,0.241878751,0.242,0.063313991,0.056416805000000014,0.1981854976580797,0.48357261428571446
15,1,0,1,2,root,8.6e-4,0.7,SKT_15,Na,0.558571153,0.559,0.380006393,0.37310920700000005,3.7186964152823925,3.1980789171428574
16,1,0,1,3,old leaf,0.03447,0.5,SKT_16,Na,11.90311001,11.9,11.72454525,11.717648064,4.079250849086162,140.611776768
17,1,0,1,3,young leaf,0.01089,0.7,SKT_17,Na,13.33419635,13.33,13.15563159,13.148734403999999,10.349259664698938,112.70343774857143
18,1,0,1,3,root,0.0102,0.7,SKT_18,Na,8.749809205,8.75,8.571244445,8.564347259,7.196930469747898,73.40869079142857
19,1,0,2,1,old leaf,0.03178,0.5,SKT_19,Na,9.185194819,9.185,9.006630059,8.999732873,3.398262884707363,107.99679447599999
20,1,0,2,1,young leaf,0.00796,0.7,SKT_20,Na,13.6471541,13.65,13.46858934,13.461692154,14.49572019454415,115.38593274857143
21,1,0,2,1,root,0.00145,0.7,SKT_21,Na,0.959356943,0.959,0.764346747,0.773894997,4.574748750738916,6.633385688571428
22,1,0,2,2,old leaf,0.01486,0.7,SKT_22,Na,0.735566293,0.736,0.540556097,0.550104347,0.3173068719477024,4.715180117142857
23,1,0,2,2,young leaf,0.00285,0.7,SKT_23,Na,0.291919183,0.292,0.096908987,0.10645723700000004,0.32017214135338357,0.9124906028571432
24,1,0,2,2,root,0.00329,0.7,SKT_24,Na,0.669321409,0.669,0.474311213,0.48385946300000005,1.2605978193660448,4.147366825714287
