Cap,Salt,Cadmium,Timepoint,Plant,TissueType,WetWeight,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
97,1,1,1,3,old leaf,0.134,0.02143,0.7,SKT_43,Cd,0.00550368,0.006,0.001058313,4.2329698020131994e-4,0.009071254285714286
98,1,1,1,3,young leaf,0.06,0.01283,0.7,SKT_44,Cd,0.004174916,0.004,0,0,0
99,1,1,1,3,root,0.425,0.00403,0.7,SKT_45,Cd,0.016842301,0.017,0.012396934,0.026367105281814966,0.1062594342857143
100,1,1,2,1,old leaf,NA,0.01067,0.7,SKT_46,Cd,0.01762088,0.018,0.013175512999999998,0.010584158254117015,0.11293296857142855
101,1,1,2,1,young leaf,NA,0.0064,0.7,SKT_47,Cd,0.014558885,0.015,0.010113518,0.013544890178571427,0.08668729714285714
102,1,1,2,1,root,NA,0.00558,0.7,SKT_48,Cd,0.072988592,0.073,0.068543225,0.1052891321044547,0.5875133571428572
103,1,1,2,2,old leaf,NA,0.08275,0.7,SKT_49,Cd,0.007321494,0.007,0.002876126999999999,2.9791561501942156e-4,0.024652517142857135
104,1,1,2,2,young leaf,NA,0.02628,0.7,SKT_50,Cd,0.006536758,0.007,0.0020913909999999997,6.821236138290932e-4,0.01792620857142857
105,1,1,2,2,root,NA,0.01388,0.7,SKT_51,Cd,0.703041569,0.703,0.698596202,0.4314097583367641,5.987967445714286
106,1,1,2,3,old leaf,NA,0.02069,0.7,SKT_52,Cd,0.001247143,0.001,0,0,0
107,1,1,2,3,young leaf,NA,0.01375,0.7,SKT_53,Cd,0.006803966,0.007,0.0023585989999999994,0.0014702954805194803,0.020216562857142854
108,1,1,2,3,root,NA,0.00681,0.7,SKT_54,Cd,0.023100468,0.023,0.018655101,0.023480303335431087,0.15990086571428572
28,0,0,0,1,old leaf,0.045,0.00567,0.7,SKT_01,Na,0.232370428,0.232,0,0,0
29,0,0,0,1,young leaf,0.022,0.0034,0.7,SKT_02,Na,0.227859393,0.228,0,0,0
30,0,0,0,1,root,0,4.4e-4,0.9,SKT_03,Na,0.279103879,0.279,0,0,0
31,0,0,0,2,old leaf,0.241,0.02381,0.7,SKT_04,Na,1.968999667,1.969,1.6060292930000002,0.578158982300354,13.765965368571429
32,0,0,0,2,young leaf,0.055,0.00592,0.7,SKT_05,Na,0.430906712,0.431,0.06793633800000004,0.0983634237451738,0.5823114685714289
33,0,0,0,2,root,0.075,6.6e-4,0.9,SKT_06,Na,0.464336331,0.464,0.101365957,1.0238985555555555,0.6757730466666667
34,0,0,0,3,old leaf,0.385,0.04599,0.7,SKT_07,Na,2.616565822,2.617,2.253595448,0.4200159254496319,19.31653241142857
35,0,0,0,3,young leaf,0.114,0.01297,0.7,SKT_08,Na,0.626883913,0.627,0.26391353900000003,0.17441141469324817,2.262116048571429
36,0,0,0,3,root,0.087,0.00181,0.7,SKT_09,Na,0.718587064,0.719,0.35561669000000007,1.6840569376479875,3.0481430571428576
37,0,0,1,1,old leaf,0.054,0.0067,0.7,SKT_10,Na,0.227759537,0.228,0,0,0
38,0,0,1,1,young leaf,0.037,0.00494,0.7,SKT_11,Na,0.251450512,0.251,0,0,0
39,0,0,1,1,root,0.015,4.5e-4,0.9,SKT_12,Na,0.487308012,0.487,0.12433763800000003,1.842039081481482,0.8289175866666669
40,0,0,1,2,old leaf,0.188,0.02266,0.7,SKT_13,Na,1.001714336,1.002,0.638743962,0.24161289698650867,5.474948245714287
41,0,0,1,2,young leaf,0.147,0.0201,0.7,SKT_14,Na,0.973078148,0.973,0.610107774,0.2601738908315565,5.2294952057142865
42,0,0,1,2,root,0.081,0.00206,0.7,SKT_15,Na,0.909096004,0.909,0.54612563,2.272367392510402,4.681076828571428
43,0,0,1,3,old leaf,0.516,0.05449,0.7,SKT_16,Na,3.834934292,3.835,3.4719639179999997,0.5461495820465092,29.759690725714282
44,0,0,1,3,young leaf,0.304,0.03535,0.7,SKT_17,Na,1.947944119,1.948,1.584973745,0.3843136985249545,13.585489242857143
45,0,0,1,3,root,0.122,0.00493,0.7,SKT_18,Na,2.32391997,2.324,1.9609495959999999,3.4093589035062295,16.808139394285714
46,0,0,2,1,old leaf,0.065,0.00734,0.7,SKT_19,Na,0.312555098,0.313,0,0,0
47,0,0,2,1,young leaf,0.066,0.00558,0.7,SKT_20,Na,0.065292153,0.065,0,0,0
48,0,0,2,1,root,0.01,6.9e-4,0.9,SKT_21,Na,0.341303755,0.341,0,0,0
49,0,0,2,2,old leaf,0.266,0.03089,0.7,SKT_22,Na,1.011704234,1.012,0.64873386,0.18001217037413864,5.560575942857143
50,0,0,2,2,young leaf,0.129,0.0157,0.7,SKT_23,Na,0.801321637,0.801,0.43835126300000005,0.2393182509554141,3.757296540000001
