Cap,SaltCadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
30,00,0,1,root,4.40E-04,0.9,SKT_03,K,0.216571191,0.217,0.169099736,2562.117212,1.127331573
31,00,0,2,shoot,0.02381,0.7,SKT_04,K,44.14494263,44.14,44.09747118,15874.77213,377.9783244
32,00,0,2,shoot,0.00592,0.7,SKT_05,K,12.04193466,12.04,11.99446321,17366.50078,102.8096846
33,00,0,2,root,6.60E-04,0.9,SKT_06,K,0.600823751,0.601,0.553352296,5589.417131,3.689015307
34,00,0,3,shoot,0.04599,0.7,SKT_07,K,116.2805266,116.3,116.2330551,21663.04261,996.2833298
35,00,0,3,shoot,0.01297,0.7,SKT_08,K,27.0628358,27.06,27.01536435,17853.52859,231.5602658
36,00,0,3,root,0.00181,0.7,SKT_09,K,1.804747111,1.805,1.757275656,8321.747384,15.06236277
37,00,1,1,shoot,0.0067,0.7,SKT_10,K,0.617271972,0.617,0.569800517,728.9558853,4.884004431
38,00,1,1,shoot,0.00494,0.7,SKT_11,K,2.238854865,2.239,2.19138341,3802.284691,18.78328637
39,00,1,1,root,4.50E-04,0.9,SKT_12,K,0.90575131,0.906,0.858279855,12715.25711,5.7218657
40,00,1,2,shoot,0.02266,0.7,SKT_13,K,17.60369417,17.6,17.55622272,6640.860944,150.481909
41,00,1,2,shoot,0.0201,0.7,SKT_14,K,39.45252466,39.45,39.40505321,16803.86064,337.7575989
42,00,1,2,root,0.00206,0.7,SKT_15,K,2.332282559,2.332,2.284811104,9506.842319,19.58409518
43,00,1,3,shoot,0.05449,0.7,SKT_16,K,74.14966053,74.15,74.10218908,11656.48047,635.1616206
44,00,1,3,shoot,0.03535,0.7,SKT_17,K,79.40295219,79.4,79.35548074,19241.57949,680.1898349
45,00,1,3,root,0.00493,0.7,SKT_18,K,4.352293672,4.352,4.304822217,7484.47792,36.89847615
46,00,2,1,shoot,0.00734,0.7,SKT_19,K,6.859314566,6.859,6.811843111,7954.663033,58.38722667
47,00,2,1,shoot,0.00558,0.7,SKT_20,K,NA,NA,NA,NA,NA
48,00,2,1,root,6.90E-04,0.9,SKT_21,K,0.299684729,0.3,0.252213274,2436.843227,1.681421827
49,00,2,2,shoot,0.03089,0.7,SKT_22,K,30.98942627,30.99,30.94195482,8585.845114,265.2167556
50,00,2,2,shoot,0.0157,0.7,SKT_23,K,30.6821845,30.68,30.63471305,16725.04807,262.5832547
51,00,2,2,root,0.00293,0.7,SKT_24,K,2.976986536,2.977,2.929515081,8570.009988,25.11012927
52,00,2,3,shoot,0.05331,0.7,SKT_25,K,112.5078324,112.5,112.4603609,18081.89741,963.945951
53,00,2,3,shoot,0.01395,0.7,SKT_26,K,30.61299849,30.61,30.56552704,18780.66177,261.9902317
54,00,2,3,root,0.0067,0.7,SKT_27,K,3.060386312,3.06,3.012914857,3854.475297,25.82498449
28,00,0,1,shoot,0.00567,0.7,SKT_01,Fe,0.054628782,0.055,0.033039659,49.94657445,0.283197077
29,00,0,1,shoot,0.0034,0.7,SKT_02,Fe,0.065591387,0.066,0.044002264,110.9300773,0.377162263
