Sample,Element,ConcSamp,ConcRep
SKT_33,Fe,3.973202778,3.973
SKT_33,Zn,0.067854357,0.068
SKT_34,Cd,0.005463773,0.005
SKT_34,K,54.45747417,54.46
SKT_34,Na,1.163728551,1.164
SKT_34,Fe,0.372504097,0.373
SKT_34,Zn,0.310850812,0.311
SKT_35,Cd,0.004604436,0.005
SKT_35,K,39.60379047,39.6
SKT_35,Na,0.615133044,0.615
SKT_35,Fe,0.170970438,0.171
SKT_35,Zn,0.209538196,0.21
SKT_36,Cd,0.013420966,0.013
SKT_36,K,0.660730373,0.661
SKT_36,Na,1.787859262,1.788
SKT_36,Fe,4.710201461,4.71
SKT_36,Zn,0.122863096,0.123
SKT_37,Cd,0.009507669,0.01
SKT_37,K,42.95484613,42.95
SKT_37,Na,25.20815017,25.21
SKT_37,Fe,0.166678479,0.167
SKT_37,Zn,0.16833993,0.168
SKT_38,Cd,0.007524127,0.008
SKT_38,K,18.11536522,18.12
SKT_38,Na,9.230455333,9.23
SKT_38,Fe,0.106299997,0.106
SKT_38,Zn,0.068211236,0.068
SKT_39,Cd,0.01033172,0.01
SKT_39,K,0.54754688,0.548
SKT_39,Na,1.336243817,1.336
SKT_39,Fe,2.531774624,2.532
SKT_39,Zn,0.060136925,0.06
SKT_40,Cd,0.007875554,0.008
SKT_40,K,77.20033298,77.2
SKT_40,Na,6.134839295,6.135
SKT_40,Fe,1.420860646,1.421
SKT_40,Zn,0.746203278,0.746
SKT_41,Cd,0.006790051,0.007
SKT_41,K,36.31522871,36.32
SKT_41,Na,1.025494783,1.025
SKT_41,Fe,0.232639776,0.233
SKT_41,Zn,0.210832204,0.211
SKT_42,Cd,0.022164368,0.022
SKT_42,K,0.273986214,0.274
SKT_42,Na,1.165900764,1.166
SKT_42,Fe,3.538791161,3.539
SKT_42,Zn,0.070339485,0.07
SKT_43,Cd,0.00550368,0.006
SKT_43,K,59.55135398,59.55
SKT_43,Na,1.279403837,1.279
SKT_43,Fe,0.681343172,0.681
SKT_43,Zn,0.461912314,0.462
SKT_44,Cd,0.004174916,0.004
SKT_44,K,21.76060446,21.76
SKT_44,Na,0.458204772,0.458
SKT_44,Fe,0.093295992,0.093
SKT_44,Zn,0.125057976,0.125
SKT_45,Cd,0.016842301,0.017
SKT_45,K,0.393209845,0.393
SKT_45,Na,2.577744981,2.578
SKT_45,Fe,6.193852095,6.194
SKT_45,Zn,0.183035145,0.183
SKT_46,Cd,0.01762088,0.018
SKT_46,K,42.48089737,42.48
SKT_46,Na,12.05880905,12.06
SKT_46,Fe,0.139762246,0.14
SKT_46,Zn,0.154657992,0.155
SKT_47,Cd,0.014558885,0.015
SKT_47,K,20.91934849,20.92
SKT_47,Na,22.87231723,22.87
SKT_47,Fe,0.081531523,0.082
SKT_47,Zn,0.094035243,0.094
SKT_48,Cd,0.072988592,0.073
SKT_48,K,0.840810104,0.841
SKT_48,Na,3.930866239,3.931
SKT_48,Fe,4.556478243,4.556
SKT_48,Zn,0.171062481,0.171
SKT_49,Cd,0.007321494,0.007
SKT_49,K,87.74578687,87.75
SKT_49,Na,7.528781824,7.529
SKT_49,Fe,0.840369721,0.84
SKT_49,Zn,0.64337009,0.643
SKT_50,Cd,0.006536758,0.007
SKT_50,K,40.8320166,40.83
SKT_50,Na,1.332935159,1.333
SKT_50,Fe,0.254059433,0.254
SKT_50,Zn,0.286175487,0.286
SKT_51,Cd,0.703041569,0.703
SKT_51,K,2.100492145,2.1
SKT_51,Na,13.37172193,13.37
SKT_51,Fe,5.127359158,5.127
SKT_51,Zn,0.401085325,0.401
SKT_52,Cd,0.001247143,0.001
SKT_52,K,52.50185063,52.5
SKT_52,Na,1.185362028,1.185
SKT_52,Fe,0.545572862,0.546
SKT_52,Zn,0.354944906,0.355
SKT_53,Cd,0.006803966,0.007
SKT_53,K,24.50101506,24.5
SKT_53,Na,0.637177394,0.637
SKT_53,Fe,0.154738233,0.155
SKT_53,Zn,0.179492632,0.179
SKT_54,Cd,0.023100468,0.023
SKT_54,K,0.542964982,0.543
SKT_54,Na,4.295799128,4.296
SKT_54,Fe,7.355157078,7.355
SKT_54,Zn,0.104535138,0.105
