Cap,Salt,Cadmium,Timepoint,Plant,TissueType,WetWeight,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
44,0,0,1,3,young leaf,0.304,0.03535,0.7,SKT_17,Cd,0.006242899,0.006,0.0017975319999999993,0.4358533845221255,0.015407417142857137
45,0,0,1,3,root,0.122,0.00493,0.7,SKT_18,Cd,0,0,0,0,0
46,0,0,2,1,old leaf,0.065,0.00734,0.7,SKT_19,Cd,0.006680086,0.007,0.0022347189999999996,2.6096368236667957,0.019154734285714282
47,0,0,2,1,young leaf,0.066,0.00558,0.7,SKT_20,Cd,0.00454305,0.005,9.768299999999945e-5,0.1500506912442388,8.372828571428525e-4
48,0,0,2,1,root,0.01,6.9e-4,0.9,SKT_21,Cd,0.005609245,0.006,0.0011638779999999993,11.245198067632844,0.0077591866666666615
49,0,0,2,2,old leaf,0.266,0.03089,0.7,SKT_22,Cd,0.005740457,0.006,0.0012950899999999996,0.3593645655089487,0.011100771428571425
50,0,0,2,2,young leaf,0.129,0.0157,0.7,SKT_23,Cd,0.004626649,0.005,1.8128199999999962e-4,0.09897106460418544,0.0015538457142857112
51,0,0,2,2,root,0.087,0.00293,0.7,SKT_24,Cd,0.005108282,0.005,6.629149999999992e-4,1.9392930277913192,0.005682128571428565
52,0,0,2,3,old leaf,0.417,0.05331,0.7,SKT_25,Cd,0.005070288,0.005,6.249209999999996e-4,0.10047769113272766,0.005356465714285712
53,0,0,2,3,young leaf,0.115,0.01395,0.7,SKT_26,Cd,0.004426483,0.004,0,0,0
54,0,0,2,3,root,0.165,0.0067,0.7,SKT_27,Cd,0.005589393,0.006,0.0011440259999999994,1.463572707889125,0.009805937142857138
82,1,1,0,1,old leaf,0.24,0.02167,0.7,SKT_28,Cd,0.004871271,0.005,4.259039999999995e-4,0.1684635770321048,0.0036506057142857103
83,1,1,0,1,young leaf,0.078,0.00766,0.7,SKT_29,Cd,0.005593689,0.006,0.0011483219999999994,1.2849556135770228,0.009842759999999996
84,1,1,0,1,root,0.324,0.00413,0.7,SKT_30,Cd,0.01153642,0.012,0.007091053,14.716817018332758,0.06078045428571429
85,1,1,0,2,old leaf,0.668,0.08326,0.7,SKT_31,Cd,0.005529956,0.006,0.0010845889999999995,0.11165598297930746,0.009296477142857138
86,1,1,0,2,young leaf,0.165,0.02175,0.7,SKT_32,Cd,0.00505236,0.005,6.069929999999992e-4,0.23920906403940861,0.005202797142857137
87,1,1,0,2,root,0.357,0.00262,0.7,SKT_33,Cd,0.009072841,0.009,0.0046274739999999995,15.138955288985823,0.03966406285714286
88,1,1,0,3,old leaf,0.123,0.01696,0.7,SKT_34,Cd,0.005463773,0.005,0.0010184059999999995,0.5146930592991912,0.008729194285714281
89,1,1,0,3,young leaf,0.117,0.02156,0.7,SKT_35,Cd,0.004604436,0.005,1.5906899999999953e-4,0.06323972965809682,0.0013634485714285674
90,1,1,0,3,root,0.333,0.00338,0.7,SKT_36,Cd,0.013420966,0.013,0.008975598999999999,22.76145139475908,0.0769337057142857
91,1,1,1,1,old leaf,0.224,0.02091,0.7,SKT_37,Cd,0.009507669,0.01,0.005062301999999999,2.075139167862267,0.04339116
92,1,1,1,1,young leaf,0.084,0.00779,0.7,SKT_38,Cd,0.007524127,0.008,0.00307876,3.3875958188153312,0.02638937142857143
93,1,1,1,1,root,0.232,0.0019,0.7,SKT_39,Cd,0.01033172,0.01,0.005886353,26.55497593984963,0.050454454285714295
94,1,1,1,2,old leaf,0.539,0.08039,0.7,SKT_40,Cd,0.007875554,0.008,0.0034301869999999995,0.3657370675101736,0.029401602857142856
95,1,1,1,2,young leaf,0.147,0.02439,0.7,SKT_41,Cd,0.006790051,0.007,0.0023446839999999997,0.823997188543314,0.020097291428571428
96,1,1,1,2,root,0.212,8.6e-4,0.9,SKT_42,Cd,0.022164368,0.022,0.017719000999999998,137.3565968992248,0.11812667333333332
97,1,1,1,3,old leaf,0.134,0.02143,0.7,SKT_43,Cd,0.00550368,0.006,0.001058313,0.4232969802013199,0.009071254285714286
98,1,1,1,3,young leaf,0.06,0.01283,0.7,SKT_44,Cd,0.004174916,0.004,0,0,0
99,1,1,1,3,root,0.425,0.00403,0.7,SKT_45,Cd,0.016842301,0.017,0.012396934,26.367105281814965,0.1062594342857143
100,1,1,2,1,old leaf,NA,0.01067,0.7,SKT_46,Cd,0.01762088,0.018,0.013175512999999998,10.584158254117014,0.11293296857142855
101,1,1,2,1,young leaf,NA,0.0064,0.7,SKT_47,Cd,0.014558885,0.015,0.010113518,13.544890178571427,0.08668729714285714
102,1,1,2,1,root,NA,0.00558,0.7,SKT_48,Cd,0.072988592,0.073,0.068543225,105.28913210445471,0.5875133571428572
103,1,1,2,2,old leaf,NA,0.08275,0.7,SKT_49,Cd,0.007321494,0.007,0.002876126999999999,0.2979156150194216,0.024652517142857138
104,1,1,2,2,young leaf,NA,0.02628,0.7,SKT_50,Cd,0.006536758,0.007,0.0020913909999999997,0.6821236138290931,0.01792620857142857
105,1,1,2,2,root,NA,0.01388,0.7,SKT_51,Cd,0.703041569,0.703,0.698596202,431.4097583367641,5.987967445714286
106,1,1,2,3,old leaf,NA,0.02069,0.7,SKT_52,Cd,0.001247143,0.001,0,0,0
107,1,1,2,3,young leaf,NA,0.01375,0.7,SKT_53,Cd,0.006803966,0.007,0.0023585989999999994,1.4702954805194803,0.020216562857142854
108,1,1,2,3,root,NA,0.00681,0.7,SKT_54,Cd,0.023100468,0.023,0.018655101,23.48030333543109,0.15990086571428572
28,0,0,0,1,old leaf,0.045,0.00567,0.7,SKT_01,Na,0.232370428,0.232,0,0,0
29,0,0,0,1,young leaf,0.022,0.0034,0.7,SKT_02,Na,0.227859393,0.228,0,0,0
30,0,0,0,1,root,0,4.4e-4,0.9,SKT_03,Na,0.279103879,0.279,0,0,0
31,0,0,0,2,old leaf,0.241,0.02381,0.7,SKT_04,Na,1.968999667,1.969,1.6060292930000002,578.158982300354,13.765965368571429
32,0,0,0,2,young leaf,0.055,0.00592,0.7,SKT_05,Na,0.430906712,0.431,0.06793633800000004,98.3634237451738,0.5823114685714289
33,0,0,0,2,root,0.075,6.6e-4,0.9,SKT_06,Na,0.464336331,0.464,0.101365957,1023.8985555555556,0.6757730466666667
34,0,0,0,3,old leaf,0.385,0.04599,0.7,SKT_07,Na,2.616565822,2.617,2.253595448,420.0159254496319,19.31653241142857
35,0,0,0,3,young leaf,0.114,0.01297,0.7,SKT_08,Na,0.626883913,0.627,0.26391353900000003,174.41141469324816,2.262116048571429
36,0,0,0,3,root,0.087,0.00181,0.7,SKT_09,Na,0.718587064,0.719,0.35561669000000007,1684.0569376479878,3.0481430571428576
37,0,0,1,1,old leaf,0.054,0.0067,0.7,SKT_10,Na,0.227759537,0.228,0,0,0
38,0,0,1,1,young leaf,0.037,0.00494,0.7,SKT_11,Na,0.251450512,0.251,0,0,0
39,0,0,1,1,root,0.015,4.5e-4,0.9,SKT_12,Na,0.487308012,0.487,0.12433763800000003,1842.0390814814818,0.8289175866666668
40,0,0,1,2,old leaf,0.188,0.02266,0.7,SKT_13,Na,1.001714336,1.002,0.638743962,241.61289698650867,5.474948245714287
41,0,0,1,2,young leaf,0.147,0.0201,0.7,SKT_14,Na,0.973078148,0.973,0.610107774,260.17389083155655,5.2294952057142865
42,0,0,1,2,root,0.081,0.00206,0.7,SKT_15,Na,0.909096004,0.909,0.54612563,2272.3673925104017,4.681076828571428
43,0,0,1,3,old leaf,0.516,0.05449,0.7,SKT_16,Na,3.834934292,3.835,3.4719639179999997,546.1495820465092,29.759690725714282
44,0,0,1,3,young leaf,0.304,0.03535,0.7,SKT_17,Na,1.947944119,1.948,1.584973745,384.3136985249546,13.585489242857145
45,0,0,1,3,root,0.122,0.00493,0.7,SKT_18,Na,2.32391997,2.324,1.9609495959999999,3409.3589035062296,16.808139394285714
46,0,0,2,1,old leaf,0.065,0.00734,0.7,SKT_19,Na,0.312555098,0.313,0,0,0
47,0,0,2,1,young leaf,0.066,0.00558,0.7,SKT_20,Na,0.065292153,0.065,0,0,0
48,0,0,2,1,root,0.01,6.9e-4,0.9,SKT_21,Na,0.341303755,0.341,0,0,0
49,0,0,2,2,old leaf,0.266,0.03089,0.7,SKT_22,Na,1.011704234,1.012,0.64873386,180.01217037413863,5.560575942857143
50,0,0,2,2,young leaf,0.129,0.0157,0.7,SKT_23,Na,0.801321637,0.801,0.43835126300000005,239.3182509554141,3.757296540000001
51,0,0,2,2,root,0.087,0.00293,0.7,SKT_24,Na,0.747384013,0.747,0.38441363900000003,1124.5645216967337,3.2949740485714294
52,0,0,2,3,old leaf,0.417,0.05331,0.7,SKT_25,Na,4.154489362,4.154,3.7915189879999995,609.6179737921054,32.49873418285714
53,0,0,2,3,young leaf,0.115,0.01395,0.7,SKT_26,Na,0.730368163,0.73,0.367397789,225.74364915514593,3.1491239057142857
54,0,0,2,3,root,0.165,0.0067,0.7,SKT_27,Na,1.444870853,1.445,1.0819004790000002,1384.0944294243072,9.273432677142859
82,1,1,0,1,old leaf,0.24,0.02167,0.7,SKT_28,Na,1.61303941,1.613,1.2500690360000002,494.4567351835983,10.714877451428574
83,1,1,0,1,young leaf,0.078,0.00766,0.7,SKT_29,Na,0.495536287,0.496,0.13256591300000004,148.339328235733,1.1362792542857147
84,1,1,0,1,root,0.324,0.00413,0.7,SKT_30,Na,2.274776827,2.275,1.911806453,3967.775412659979,16.386912454285714
85,1,1,0,2,old leaf,0.668,0.08326,0.7,SKT_31,Na,5.228278792,5.228,4.865308418000001,500.87249078617765,41.70264358285715
86,1,1,0,2,young leaf,0.165,0.02175,0.7,SKT_32,Na,1.158044737,1.158,0.795074363,313.32979822660104,6.814923111428572
87,1,1,0,2,root,0.357,0.00262,0.7,SKT_33,Na,1.421345259,1.421,1.058374885,3462.513255179935,9.07178472857143
88,1,1,0,3,old leaf,0.123,0.01696,0.7,SKT_34,Na,1.163728551,1.164,0.800758177,404.695844171159,6.863641517142857
89,1,1,0,3,young leaf,0.117,0.02156,0.7,SKT_35,Na,0.615133044,0.615,0.25216267000000003,100.25020010601646,2.161394314285715
90,1,1,0,3,root,0.333,0.00338,0.7,SKT_36,Na,1.787859262,1.788,1.424888888,3613.412226542688,12.213333325714286
91,1,1,1,1,old leaf,0.224,0.02091,0.7,SKT_37,Na,25.20815017,25.21,24.845179796,10184.537731502356,212.9586839657143
92,1,1,1,1,young leaf,0.084,0.00779,0.7,SKT_38,Na,9.230455333,9.23,8.867484959,9756.997937649001,76.00701393428572
93,1,1,1,1,root,0.232,0.0019,0.7,SKT_39,Na,1.336243817,1.336,0.973273443,4390.7072616541345,8.342343797142856
94,1,1,1,2,old leaf,0.539,0.08039,0.7,SKT_40,Na,6.134839295,6.135,5.771868921,615.4143821370818,49.47316218000001
95,1,1,1,2,young leaf,0.147,0.02439,0.7,SKT_41,Na,1.025494783,1.025,0.6625244090000001,232.8323349147778,5.67878064857143
96,1,1,1,2,root,0.212,8.6e-4,0.9,SKT_42,Na,1.165900764,1.166,0.8029303900000001,6224.266589147287,5.352869266666667
97,1,1,1,3,old leaf,0.134,0.02143,0.7,SKT_43,Na,1.279403837,1.279,0.9164334630000001,366.5489486034264,7.855143968571429
