Sample ID,Samp Number,Sample Units,Analyte Name,Elem,Wavelength,Int (Corr),RSD (Corr Int),SD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Calib Units,Samp Units,Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
SKT_30,36, ,Fe 238.204,Fe,238.204,2132304.714,0.3708263792,7907.148366,3.962669837,3.962669837,3.963,3.963,0.369745279,0.01465178465,0.01465178465,mg/L,mg/L,1,4/25/2022,1:56:31 PM,2,4/25/2022,1:56:34 PM,3,4/25/2022,1:56:36 PM
SKT_30,36, ,Zn 206.200,Zn,206.201,11882.75479,0.2327794383,27.66060986,0.1131860518,0.1131860518,0.113,0.113,0.225235362,0.0002549350136,0.0002549350136,mg/L,mg/L,1,4/25/2022,1:56:40 PM,2,4/25/2022,1:56:49 PM,3,4/25/2022,1:56:56 PM
SKT_31,37, ,Cd 228.802,Cd,228.801,2233.80663,1.36913972,30.58393383,0.005529956366,0.005529956366,0.006,0.006,1.547999152,8.560367766e-005,8.560367766e-005,mg/L,mg/L,1,4/25/2022,1:59:14 PM,2,4/25/2022,1:59:22 PM,3,4/25/2022,1:59:30 PM
SKT_31,37, ,K 766.490,K,766.493, , , ,29.91204354,29.91204354,29.91,29.91,0.3157184721,0.09443784681,0.09443784681,mg/L,mg/L,1,4/25/2022,1:59:43 PM,2,4/25/2022,1:59:51 PM,3,4/25/2022,1:59:58 PM
SKT_31,37, ,Na 589.592,Na,589.595,20527919.53,0.2283649096,46878.56488,5.228278792,5.228278792,5.228,5.228,0.2244859013,0.01173674877,0.01173674877,mg/L,mg/L,1,4/25/2022,2:00:10 PM,2,4/25/2022,2:00:15 PM,3,4/25/2022,2:00:20 PM
SKT_31,37, ,Fe 238.204,Fe,238.204,359117.7806,0.7767469534,2789.43642,0.6769906159,0.6769906159,0.677,0.677,0.763491941,0.005168768793,0.005168768793,mg/L,mg/L,1,4/25/2022,2:00:29 PM,2,4/25/2022,2:00:32 PM,3,4/25/2022,2:00:35 PM
SKT_31,37, ,Zn 206.200,Zn,206.201,110990.773,0.5175322344,574.4130274,1.026618695,1.026618695,1.027,1.027,0.5156830399,0.005294098492,0.005294098492,mg/L,mg/L,1,4/25/2022,2:00:40 PM,2,4/25/2022,2:00:48 PM,3,4/25/2022,2:00:54 PM
SKT_32,38, ,Cd 228.802,Cd,228.801,2063.17413,3.430790199,70.78317585,0.005052360202,0.005052360202,0.005,0.005,3.921342863,0.0001981203662,0.0001981203662,mg/L,mg/L,1,4/25/2022,2:03:12 PM,2,4/25/2022,2:03:20 PM,3,4/25/2022,2:03:28 PM
SKT_32,38, ,K 766.490,K,766.493,39742062.81,0.2153914454,85601.00351,40.12553205,40.12553205,40.13,40.13,0.214823876,0.0861992232,0.0861992232,mg/L,mg/L,1,4/25/2022,2:03:42 PM,2,4/25/2022,2:03:49 PM,3,4/25/2022,2:03:54 PM
SKT_32,38, ,Na 589.592,Na,589.595,4270714.49,0.2237039513,9553.757065,1.158044737,1.158044737,1.158,1.158,0.2065486482,0.00239192575,0.00239192575,mg/L,mg/L,1,4/25/2022,2:04:04 PM,2,4/25/2022,2:04:08 PM,3,4/25/2022,2:04:10 PM
SKT_32,38, ,Fe 238.204,Fe,238.204,153801.4591,0.3134034179,482.0190295,0.2965436596,0.2965436596,0.297,0.297,0.3011939057,0.0008931714304,0.0008931714304,mg/L,mg/L,1,4/25/2022,2:04:17 PM,2,4/25/2022,2:04:23 PM,3,4/25/2022,2:04:29 PM
SKT_32,38, ,Zn 206.200,Zn,206.201,30622.02306,0.1917033166,58.70343382,0.2858971972,0.2858971972,0.286,0.286,0.1892436622,0.0005410423261,0.0005410423261,mg/L,mg/L,1,4/25/2022,2:04:36 PM,2,4/25/2022,2:04:45 PM,3,4/25/2022,2:04:52 PM
SKT_33,39, ,Cd 228.802,Cd,228.801,3499.585767,0.3457047951,12.09823581,0.009072841002,0.009072841002,0.009,0.009,0.3732310981,3.38626641e-005,3.38626641e-005,mg/L,mg/L,1,4/25/2022,2:07:11 PM,2,4/25/2022,2:07:19 PM,3,4/25/2022,2:07:27 PM
SKT_33,39, ,K 766.490,K,766.493,255808.7187,1.715884844,4389.383034,0.3633296248,0.3633296248,0.363,0.363,1.216542166,0.004420058087,0.004420058087,mg/L,mg/L,1,4/25/2022,2:07:40 PM,2,4/25/2022,2:07:43 PM,3,4/25/2022,2:07:45 PM
SKT_33,39, ,Na 589.592,Na,589.595,5322381.426,1.254764559,66783.35582,1.421345259,1.421345259,1.421,1.421,1.176365159,0.01672021042,0.01672021042,mg/L,mg/L,1,4/25/2022,2:07:52 PM,2,4/25/2022,2:07:55 PM,3,4/25/2022,2:07:58 PM
SKT_33,39, ,Fe 238.204,Fe,238.204,2137989.041,0.2692994392,5757.592496,3.973202778,3.973202778,3.973,3.973,0.26851641,0.01066870146,0.01066870146,mg/L,mg/L,1,4/25/2022,2:08:05 PM,2,4/25/2022,2:08:08 PM,3,4/25/2022,2:08:10 PM
SKT_33,39, ,Zn 206.200,Zn,206.201,6964.237299,0.6121661883,42.63270602,0.06785435703,0.06785435703,0.068,0.068,0.5790724396,0.0003929258807,0.0003929258807,mg/L,mg/L,1,4/25/2022,2:08:14 PM,2,4/25/2022,2:08:23 PM,3,4/25/2022,2:08:30 PM
SKT_34,40, ,Cd 228.802,Cd,228.801,2210.161155,1.045206656,23.10075149,0.005463773265,0.005463773265,0.005,0.005,1.183402595,6.465843458e-005,6.465843458e-005,mg/L,mg/L,1,4/25/2022,2:10:49 PM,2,4/25/2022,2:10:57 PM,3,4/25/2022,2:11:05 PM
SKT_34,40, ,K 766.490,K,766.493,53974541.73,0.5702687521,307799.9456,54.45747417,54.45747417,54.46,54.46,0.5691615334,0.309950995,0.309950995,mg/L,mg/L,1,4/25/2022,2:11:18 PM,2,4/25/2022,2:11:26 PM,3,4/25/2022,2:11:33 PM
SKT_34,40, ,Na 589.592,Na,589.595,4293416.607,0.5966405257,25616.26341,1.163728551,1.163728551,1.164,1.164,0.5511091118,0.00641341408,0.00641341408,mg/L,mg/L,1,4/25/2022,2:11:45 PM,2,4/25/2022,2:11:49 PM,3,4/25/2022,2:11:51 PM
