Cap,Salt,Cadmium,SaltCadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
4,1,0,10,0,2,old leaf,0.04946,0.5,Na,3.771481705,3.771,3.586019759,0.870041187,43.03223711
5,1,0,10,0,2,young leaf,0.01384,0.7,Na,0.956094336,0.956,0.77063239,0.477270266,6.605420486
6,1,0,10,0,2,root,8.70E-04,0.7,Na,0.45180555,0.452,0.266343604,2.624074916,2.282945177
7,1,0,10,0,3,old leaf,0.06652,0.4,Na,3.557089922,3.557,3.371627976,0.76028893,50.57441964
8,1,0,10,0,3,young leaf,0.04741,0.5,Na,3.238580854,3.239,3.053118908,0.772778462,36.6374269
9,1,0,10,0,3,root,0.00169,0.7,Na,0.764099893,0.764,0.578637947,2.934765581,4.959753831
10,1,0,10,1,1,old leaf,0.06685,0.4,Na,13.26297509,13.26,13.07751314,2.934370937,196.1626972
11,1,0,10,1,1,young leaf,0.0075,0.7,Na,5.23916047,5.239,5.053698524,5.775655456,43.31741592
12,1,0,10,1,1,root,0.00146,0.7,Na,1.262332758,1.262,1.076870812,6.32213784,9.230321246
13,1,0,10,1,2,old leaf,0.01357,0.7,Na,0.596761556,0.597,0.41129961,0.259795522,3.525425229
14,1,0,10,1,2,young leaf,0.00244,0.7,Na,0.241878751,0.242,0.056416805,0.198185498,0.483572614
15,1,0,10,1,2,root,8.60E-04,0.7,Na,0.558571153,0.559,0.373109207,3.718696415,3.198078917
16,1,0,10,1,3,old leaf,0.03447,0.5,Na,11.90311001,11.9,11.71764806,4.079250849,140.6117768
17,1,0,10,1,3,young leaf,0.01089,0.7,Na,13.33419635,13.33,13.1487344,10.34925966,112.7034377
18,1,0,10,1,3,root,0.0102,0.7,Na,8.749809205,8.75,8.564347259,7.19693047,73.40869079
19,1,0,10,2,1,old leaf,0.03178,0.5,Na,9.185194819,9.185,8.999732873,3.398262885,107.9967945
20,1,0,10,2,1,young leaf,0.00796,0.7,Na,13.6471541,13.65,13.46169215,14.49572019,115.3859327
21,1,0,10,2,1,root,0.00145,0.7,Na,0.959356943,0.959,0.773894997,4.574748751,6.633385689
22,1,0,10,2,2,old leaf,0.01486,0.7,Na,0.735566293,0.736,0.550104347,0.317306872,4.715180117
23,1,0,10,2,2,young leaf,0.00285,0.7,Na,0.291919183,0.292,0.106457237,0.320172141,0.912490603
24,1,0,10,2,2,root,0.00329,0.7,Na,0.669321409,0.669,0.483859463,1.260597819,4.147366826
25,1,0,10,2,3,old leaf,0.03215,0.5,Na,16.52363695,16.52,16.338175,6.098230173,196.0581
26,1,0,10,2,3,young leaf,0.0097,0.7,Na,16.0369206,16.04,15.85145865,14.00717996,135.8696456
27,1,0,10,2,3,root,0.0043,0.7,Na,3.421472877,3.421,3.236010931,6.450520128,27.73723655
55,0,1,01,0,1,old leaf,0.01027,0.7,Na,0.555720629,0.556,0.370258683,0.309021018,3.173645854
56,0,1,01,0,1,young leaf,0.01377,0.7,Na,0.63734719,0.637,0.451885244,0.281285555,3.873302091
57,0,1,01,0,1,root,0.00161,0.7,Na,0.712358899,0.712,0.526896953,2.805130185,4.516259597
58,0,1,01,0,2,old leaf,0.04048,0.5,Na,1.191356649,1.191,1.005894703,0.298190129,12.07073644
59,0,1,01,0,2,young leaf,0.02221,0.5,Na,0.597437016,0.597,0.41197507,0.222588962,4.94370084
60,0,1,01,0,2,root,0.00136,0.7,Na,0.433191241,0.433,0.247729295,1.561319086,2.123393957
61,0,1,01,0,3,old leaf,0.06928,0.4,Na,1.716459245,1.716,1.530997299,0.331480362,22.96495948
62,0,1,01,0,3,young leaf,0.02692,0.5,Na,0.653934663,0.654,0.468472717,0.208828849,5.621672604
63,0,1,01,0,3,root,0.00205,0.7,Na,0.538873359,0.539,0.353411413,1.477678382,3.029240683
64,0,1,01,1,1,old leaf,0.0158,0.7,Na,0.826495188,0.826,0.641033242,0.347757636,5.494570646
65,0,1,01,1,1,young leaf,0.0042,0.7,Na,0.282783609,0.283,0.097321663,0.198615639,0.834185683
66,0,1,01,1,1,root,0.00109,0.7,Na,0.45108528,0.451,0.265623334,2.088781132,2.276771434
67,0,1,01,1,2,old leaf,0.02225,0.5,Na,0.610580802,0.611,0.425118856,0.229277585,5.101426272
68,0,1,01,1,2,young leaf,0.01885,0.7,Na,0.8674908,0.867,0.682028854,0.310130589,5.845961606
69,0,1,01,1,2,root,0.00414,0.7,Na,1.247657996,1.248,1.06219605,2.199163665,9.104537571
